series,value
profit,0.0
profit,1.2753516630252193
profit,0.15927269118300202
profit,-1.4346243542082222
profit,0.22193417383830605
profit,-0.2219341738383056
profit,2.1452952271518724
profit,-0.9274388953872599
profit,-2.59882852369277
profit,-0.5780788220931816
profit,1.4757315850954704
profit,0.48331942892587065
profit,0.006751684428705218
profit,-0.006751684428705218
profit,1.7674144571545085
profit,0.8475603189249172
profit,-0.19151286084313945
profit,-1.0223810827402549
profit,-0.06249653513785436
profit,-1.338584297358171
profit,-0.01771591445226195
profit,1.2738045411112209
profit,-1.458465730930726
profit,-0.055232713788728294
profit,2.426685254924843
profit,-1.498554364850932
profit,-0.670521072013412
profit,0.34001611946531796
profit,-0.561034815788942
profit,-0.2808422364463159
profit,-0.8104030270592566
profit,-0.4523844268467645
profit,1.7646483866759608
profit,-1.1102230246251565e-16
profit,0.21465991179693056
profit,0.4613969292364324
profit,-0.676056841033364
profit,-0.13432610803954148
profit,-0.056197166265724394
profit,0.5399644105880324
profit,-0.876393884717455
profit,1.7408255836534172
profit,0.8474021691514366
profit,-0.2913519547960788
profit,0.11765741926776574
profit,-2.3081229982178737
profit,0.4205425293760232
profit,-0.631525801730916
profit,-2.694519936099108
profit,-2.669701306562846
profit,-0.21894860241713415
profit,1.2412191710837588
profit,0.43614839707223463
profit,4.537328078654012
profit,0.13438794194535397
profit,0.5912503108907412
profit,-0.7256382528360937
profit,-0.8210099210468256
profit,-0.29485264973009895
profit,1.1158625707769252
profit,-3.642280747562009
profit,2.5584949798247436
profit,0.11506084933173555
profit,0.968724918405532
profit,-0.6227170614266457
profit,1.1506495553807081
profit,2.964986129910301
profit,-1.5401043366699163
profit,-1.5197870878540236
profit,-0.4330271993404198
profit,1.1033586275302767
profit,0.9678675271105575
profit,-1.197741178340685
profit,-0.315516040597975
profit,-0.5579689357021695
profit,-0.7382328223112005
profit,0.1827365592021013
profit,0.9049539901378698
profit,-0.34945772702877154
profit,-0.5656972559194668
profit,1.6826962633167124
profit,-2.900643570584819
profit,1.2994148172713231
profit,0.5637785875777794
profit,-0.32111725556055726
profit,0.24156841389902795
profit,0.4763934983967122
profit,-0.4763934983967131
profit,0.9986426060776701
profit,-0.21598162782640795
profit,-1.9392726687334
profit,2.0058877549668557
profit,-1.3808826540345587
profit,-1.9128228123698916
profit,2.44442940191973
profit,1.8386428291644874
profit,1.5975280665124005
profit,-2.7995533250563547
profit,-0.013964599890002441
profit,0.28969342006522303
profit,-0.912346390795757
profit,0.9431724296469586
profit,-0.9431724296469579
profit,-1.017012608045908
profit,0.9071332169621789
profit,-0.33849989433354555
profit,0.9483331951890399
profit,-0.4999539097717687
profit,-0.40514806786028246
profit,0.0035442892057039876
profit,-2.451336500018738
profit,1.6237415268861168
profit,2.9793632058172346
profit,-1.7501644540300356
profit,-0.4838581682343004
profit,-0.7846789313060754
profit,1.1861006874469329
profit,0.3781123406814859
profit,-0.29567592858804215
profit,-0.5222592760483487
profit,0.5222592760483495
profit,0.3545210023523122
profit,-1.1125212146596448
profit,0.4598576959940408
profit,1.738799399602243
profit,0.1077867923452418
profit,-1.0174248639219705
profit,-0.9093635559145774
profit,0.9112147247704145
profit,-0.6332586581383945
profit,0.002242864702759917
profit,0.09814581286757718
profit,0.0
profit,-0.7080681963974484
profit,0.05741894096472233
profit,-2.52091513625232
profit,2.1454782892655944
profit,0.3055531565510885
profit,-0.027555961954785865
profit,0.6910335561923886
profit,0.05705535163076236
profit,-0.24382175956141694
profit,-0.12293350397351421
profit,-0.09579601781851335
profit,0.46255128135344226
profit,-3.1285853128031134
profit,0.009319933916694723
profit,-0.5815212522640714
profit,0.6940842258627464
profit,-0.12407482336941911
profit,3.1307772286571627
profit,0.25485215237882386
profit,0.41938503907997315
profit,0.9518052767228848
profit,-1.2600219237561519
profit,1.0819117912030212
profit,-1.6371669468760532
profit,0.18923461124750407
profit,3.2874666445259546
profit,-1.1759531495787439
profit,-0.6443121338683551
profit,-1.296881544311924
profit,-0.029819683135071884
profit,-0.4399792059210874
profit,0.29947907228922466
profit,-1.5605397664586036
profit,-0.3443578647071681
profit,-1.4937556406839523
profit,4.025271392219301
profit,-1.1784473920408889
profit,0.23323847954654742
profit,-0.3173416236060742
profit,2.9445739972348557
profit,-0.22966743476085405
profit,0.47450065541525177
profit,-0.4535129790774972
profit,-0.5091756143542563
profit,-1.5907862087266524
profit,0.6326510085251709
profit,-0.2564216993187527
profit,-0.37622930920641995
profit,0.2902922962990129
profit,1.067075915759852
profit,0.4557731716889455
profit,-0.8322981307116004
profit,0.41624044275187444
profit,-0.8376270168316461
profit,-0.244597981766136
profit,-0.3148586971903016
profit,-0.47636688715237785
profit,-0.2366151476531515
profit,0.556503797860354
profit,0.6994050109248562
profit,0.0054381225283642864
profit,-0.5660955390841593
profit,0.017730642576117006
profit,-0.18959123433728298
profit,-0.03882744729433596
profit,1.0285566948026519
profit,0.37677206852018585
profit,-0.5876567430029578
profit,-0.589253338688259
profit,-1.0177989497181734
profit,0.0850961995891355
profit,1.9487099976227444
profit,-1.0160072474937072
profit,-1.4682753603914334
profit,-1.3426109993587554
profit,-0.6439183236477211
profit,0.3756407438296403
profit,0.6789472555082883
profit,1.1318469553360897
profit,-1.4442220440912124
profit,-1.9945997287142765
profit,1.2070846942641076
profit,1.7414469701117898
profit,-0.7017989199956673
profit,2.460458757149162
profit,0.0
profit,-0.1328858483428066
profit,-2.984827375674321
profit,0.28775260727315377
profit,-0.7504810015412025
profit,1.2180892218644352
profit,-0.7659999169055729
profit,0.8589802317577266
profit,-0.30047076087818947
profit,0.1659070224951058
profit,0.0434562847924258
profit,2.360479535159241
profit,0.698846831986176
profit,-0.689552828246339
profit,-1.545801657088834
profit,-0.32153000180031577
profit,3.4426390078476894
profit,-0.01239521874315308
profit,0.29515187157656797
profit,-1.2798544075032123
profit,-0.5875035980285794
profit,-8.881784197001252e-16
profit,0.3978883197143688
profit,-0.9743207286903397
profit,-0.18132983212645648
profit,-0.5789578934048603
profit,0.30787465634937394
profit,0.4308682222216129
profit,0.5979772559363004
profit,2.315529968356774
profit,0.5803361262856663
profit,-2.895866094642443
profit,-2.04885959898845
profit,0.6759975820127719
profit,1.3728620169756791
profit,0.16209469389043885
profit,0.5306334305343625
profit,-2.10662628341667
profit,-0.0398917142947518
profit,1.6912830979176476
profit,-0.23749322463102773
profit,0.0010703939311066946
profit,-0.0010703939311049737
profit,1.3854769939459262
profit,1.876472164817474
profit,-1.5298146291088113
profit,-0.43408041076610293
profit,1.62612942793759
profit,-0.8637760632656821
profit,3.713725343892291
profit,-4.858078653980734
profit,-0.49836882860612564
profit,-2.7400599865547033
profit,2.322374641688885
profit,1.677854268326965
profit,-0.556431258378344
profit,1.8527306318755166
profit,0.23863582519301252
profit,-0.6542403129541963
profit,-2.5585491540629572
profit,0.9474571977628479
profit,0.10179389312294873
profit,-1.2864723447078736
profit,0.23722125382207526
profit,1.3701780309717329
profit,0.5293952144967697
profit,-2.141063161289913
profit,0.03159851876108766
profit,-1.9749188559096442
profit,-1.4128128040765082
profit,-1.3792488729786925
profit,-0.9137556931272104
profit,0.09715689246160641
profit,2.3187498034078633
profit,-0.6062053619940568
profit,0.036825592793625184
profit,0.9314333196125166
profit,3.1126673768708244
profit,-0.12210157014714351
profit,-0.03618336152944823
profit,0.7425759550471982
profit,-3.154132778921783
profit,-2.7600722747300575
profit,1.3496264412792316
profit,2.0953923586503445
profit,3.5054271064255236
profit,-2.0092852613161334
profit,0.3887533852422722
profit,0.0
profit,0.8643115134572574
profit,-0.6038982934652033
profit,-0.6491059178542502
profit,-1.026130038219427
profit,-0.10426121960674095
profit,0.1145298957478662
profit,3.317747071300003
profit,0.9694300613041551
profit,-1.871639402684874
profit,0.6664644742764674
profit,-1.7454553360989284
profit,0.2760022696820261
profit,-0.2079950778383547
profit,-0.4932339589826906
profit,0.4932339589826906
profit,-0.7955858409103687
profit,-0.015763102626498604
profit,-1.1926346465961055
profit,0.41740814002344484
profit,-2.663236623334444
profit,0.6567960812077747
profit,1.0941222581355978
profit,2.776708822638793
profit,-0.2778150885381996
profit,0.4423235684577298
profit,1.3754926989089578
profit,0.2604982272070018
profit,-0.11264319007251744
profit,0.32650233410461826
profit,0.19764876652570873
profit,-2.4898224051314943
profit,-1.7243630292049015
profit,1.724363029204901
profit,-0.6888220518176826
profit,1.1135895294339555
profit,-0.18594156434981457
profit,-0.02133451667929176
profit,-0.21749139658717237
profit,-0.08038495717145444
profit,-1.080213044935971
profit,-1.4261016255017775
profit,1.7529175516985003
profit,-0.012858958026878309
profit,1.1650347925256632
profit,-0.31151958685765724
profit,-0.1455936438085823
profit,0.1387194720781625
profit,-0.13691674024865608
profit,-0.0025238562230422684
profit,-0.07947181656667013
profit,0.7712649643301281
profit,-0.4169786921686025
profit,-0.13537385912315436
profit,0.00257036773826691
profit,-0.0025703677382704626
profit,-1.0543254057261624
profit,2.39505854063355
profit,0.44285973709658855
profit,-0.60781260719678
profit,-1.1757802648071953
profit,-0.19379982322144912
profit,-1.7453531081780644
profit,0.03414196450342538
profit,2.731541049964955
profit,-0.05033037593649358
profit,1.8854488938493787
profit,-2.6616486009817493
profit,2.8145510032256036
profit,0.11310124485401474
profit,-0.1813175508593298
profit,0.49839192443722524
profit,0.45727131819248523
profit,-0.15372241301710154
profit,-3.2462569058909656
profit,-0.3026892136641237
profit,0.0006705927221927199
profit,2.221534932025513
profit,-2.1165748528913353
profit,0.5739705462534292
profit,-0.7732605606622247
profit,0.09432993527462408
profit,-0.33867911381924753
profit,0.0949358201273176
profit,0.2437432936919306
profit,-0.20792158214549783
profit,-0.4810938527226254
profit,0.6890154348681232
profit,1.5629459809507757
profit,-2.7478287384519913
profit,0.19593397232074938
profit,0.7567986939313807
profit,0.23215009124908614
profit,-1.1834409431845354
profit,1.7910636437469991
profit,-0.6076227005624624
profit,-2.93121300113431
profit,-0.669631700734203
profit,-0.6794690990760586
profit,0.9555937942401709
profit,-0.5939381987340884
profit,0.08468947077048217
profit,3.7483841696178217
profit,0.08558456505018874
profit,0.24066744135136076
profit,2.047407006162249
profit,-0.42486680367843943
profit,4.7496918240427295
profit,-1.81659972100113
profit,-1.639627755518144
profit,-0.7051463697731206
profit,-0.6469135498156842
profit,-1.045981958247621
profit,-0.7586301135221936
profit,0.23564180323046724
profit,1.0964149045145124
profit,-1.5089502474480603
profit,0.17689353970308286
profit,-1.4095190012110503
profit,-0.029828014053887686
profit,-0.4228429025722944
profit,-1.2630313761689118
profit,3.5451670189793525
profit,-0.41994572497320926
profit,3.482654442071235
profit,-1.005619505248567
profit,1.6803941460015706
profit,0.7623208720751151
profit,0.4391003333626693
profit,-2.313131192279693
profit,0.009078883291420814
profit,-2.032023433999174
profit,-1.0227745452745727
profit,-0.42850496605704835
profit,-2.108587938147336
profit,-2.0523389233607565
profit,1.7480022570612626
profit,0.21805429880485505
profit,-3.441448946594491
profit,4.601362520503219
profit,1.4634616977902963
profit,0.8103744854180286
profit,-0.08585069917495858
profit,2.2259131242206154
profit,-1.713246138902756
profit,-0.6709146290602064
profit,-0.5662761425007217
profit,-0.36704116511709906
profit,1.8764903378893525
profit,-2.559366751965684
profit,0.13363644031258926
profit,-1.0989577449424175
profit,2.015238883823258
profit,-0.037248229516358755
profit,-3.5465039022724127
profit,-0.7748113770361829
profit,2.5284095327880216
profit,-1.260837009365968
profit,0.6488549095002192
profit,0.5879593909548233
profit,-1.2775431517046116
profit,0.3287704927455035
profit,2.802949343906965
profit,0.030235376573967243
profit,0.04486694226154342
profit,0.07297643160836331
profit,-0.0636067496479984
profit,-0.44809620124573435
profit,2.637717771675285
profit,0.5423847978142216
profit,-0.04918597876046321
profit,-0.869229599125088
profit,-1.8980627911540946
profit,0.9519647474759267
profit,-0.5190219336530788
profit,-0.4329428138228453
profit,-0.6884190723844804
profit,-0.4150028304397635
profit,0.03171153604382981
profit,-0.24570487077870307
profit,-0.01260931360600337
profit,2.220894713576911
profit,-0.890870162411793
profit,0.2754926956557462
profit,-0.2754926956557453
profit,1.2182356282247158
profit,-1.2182356282247166
profit,1.3419166719001705
profit,-0.1349623117397658
profit,-3.657043584086283
profit,2.4500892239258762
profit,-0.1973169395846912
profit,0.2828865538120393
profit,-1.7682426680910148
profit,0.44107146453018165
profit,0.28624771614467326
profit,0.22820025481154493
profit,0.7271536183772653
profit,-0.36150721508168004
profit,0.7523169749051379
profit,-1.9339536138424376
profit,-0.485035067273099
profit,-0.6236459172848416
profit,0.7225534008534571
profit,1.9292714377234628
profit,-1.6982889855512635
profit,3.7971163066925078
profit,-2.098827321141245
profit,0.34341610353825613
profit,-0.0935631453634842
profit,-1.688002401081783
profit,0.8004249560201169
profit,1.1954373607927709
profit,0.10677756156564255
profit,1.2241663201060593
profit,-0.7804836297007771
profit,-1.1081731258768102
profit,-0.11606423325165349
profit,0.8064503104398897
profit,-2.6370622181129244
profit,3.346127316677425
profit,-0.5188051239034408
profit,-1.5095153313964271
profit,0.512135075801539
profit,0.11673420374559207
profit,0.42992571713474925
profit,0.7230176757614712
profit,-0.059322252801701225
profit,-2.2602885233831236
profit,0.8928227361936969
profit,-1.5929237767440263
profit,-1.3908878362269457
profit,-0.4464404298458766
profit,3.704096689911756
profit,-1.0244212913057096
profit,0.00716909437001341
profit,0.39856749336784336
profit,1.3447990282611935
profit,-0.726114324693341
profit,0.2480704454754843
profit,-0.24807044547548474
profit,0.07374340808169899
profit,-2.5986159031667633
profit,2.2349047455372126
profit,-1.5641384982796511
profit,1.8541062478275023
profit,-0.3317633113772267
profit,0.3317633113772267
profit,-1.2446067235857416
profit,0.5197201310425847
profit,1.080194913376145
profit,0.2152695103028721
profit,0.08748142954289584
profit,0.21682106875698626
profit,-0.8748803294357428
profit,1.1866654682103395
profit,-0.35348139042962634
profit,-1.5924015399041602
profit,-0.23565486294269888
profit,0.3670327490410008
profit,0.6278395760251461
profit,0.006607757731996955
